show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int
1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown,United States,2021-09-25,2020,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",90
8,Movie,Sankofa,Haile Gerima,Kofi Ghanaba,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",125
9,TV Show,The Great British Baking Show,Andy Devonshire,Mel Giedroyc,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",9
10,Movie,The Starling,Theodore Melfi,Melissa McCarthy,United States,2021-09-24,2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,104
13,Movie,Je Suis Karl,Christian Schwochow,Luna Wedler,"Germany, Czech Republic",2021-09-23,2021,TV-MA,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",127
25,Movie,Jeans,S. Shankar,Prashanth,India,2021-09-21,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",166
28,Movie,Grown Ups,Dennis Dugan,Adam Sandler,United States,2021-09-20,2010,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",103
29,Movie,Dark Skies,Scott Stewart,Keri Russell,United States,2021-09-19,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",97
30,Movie,Paranoia,Robert Luketic,Liam Hemsworth,"United States, India, France",2021-09-19,2013,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",106
39,Movie,Birth of the Dragon,George Nolfi,Billy Magnussen,"China, Canada, United States",2021-09-16,2017,PG-13,96 min,"Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",96
42,Movie,Jaws,Steven Spielberg,Roy Scheider,United States,2021-09-16,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",124
43,Movie,Jaws 2,Jeannot Szwarc,Roy Scheider,United States,2021-09-16,1978,PG,116 min,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",116
44,Movie,Jaws 3,Joe Alves,Dennis Quaid,United States,2021-09-16,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",98
45,Movie,Jaws: The Revenge,Joseph Sargent,Lorraine Gary,United States,2021-09-16,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",91
47,Movie,Safe House,Daniel Espinosa,Denzel Washington,"South Africa, United States, Japan",2021-09-16,2012,R,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,115
49,Movie,Training Day,Antoine Fuqua,Denzel Washington,United States,2021-09-16,2001,R,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,122
52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Kappei Yamaguchi,Japan,2021-09-15,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",99
53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Kappei Yamaguchi,Japan,2021-09-15,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,99
54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Kappei Yamaguchi,Japan,2021-09-15,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",88
55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Kappei Yamaguchi,Japan,2021-09-15,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",100
57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Junko Takeuchi,Japan,2021-09-15,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",102
58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Junko Takeuchi,Japan,2021-09-15,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",93
59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Junko Takeuchi,Japan,2021-09-15,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",96
60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Junko Takeuchi,Japan,2021-09-15,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",95
